NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
43622,B1:B1I,1561.098,BPSK(2),10.0,10.0
43622,B3:B3I,1268.52,BPSK(10),16.0,16.0
43622,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43622,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
43707,B1:B1I,1561.098,BPSK(2),10.0,10.0
43707,B3:B3I,1268.52,BPSK(10),16.0,16.0
43707,B1:B1C,1575.42,"MBOC(6,1,1/11)",10.0,10.0
43707,B2:B2ab,1191.795,"AltBOC(15,10)",10.0,10.0
39199,L5:SPS,1176.45,BPSK(1),16.0,14.0
39199,L5:RS,1176.45,"BOC(5,2)",18.0,16.0
39199,S:SPS,2492.028,BPSK(1),10.0,10.0
39199,S:RS,2492.028,"BOC(5,2)",10.0,10.0
39635,L5:SPS,1176.45,BPSK(1),16.0,14.0
39635,L5:RS,1176.45,"BOC(5,2)",18.0,16.0
39635,S:SPS,2492.028,BPSK(1),10.0,10.0
39635,S:RS,2492.028,"BOC(5,2)",10.0,10.0
40269,L5:SPS,1176.45,BPSK(1),16.0,14.0
40269,L5:RS,1176.45,"BOC(5,2)",18.0,16.0
40269,S:SPS,2492.028,BPSK(1),10.0,10.0
40269,S:RS,2492.028,"BOC(5,2)",10.0,10.0
41384,L5:SPS,1176.45,BPSK(1),16.0,14.0
41384,L5:RS,1176.45,"BOC(5,2)",18.0,16.0
41384,S:SPS,2492.028,BPSK(1),10.0,10.0
41384,S:RS,2492.028,"BOC(5,2)",10.0,10.0
43286,L5:SPS,1176.45,BPSK(1),16.0,14.0
43286,L5:RS,1176.45,"BOC(5,2)",18.0,16.0
43286,S:SPS,2492.028,BPSK(1),10.0,10.0
43286,S:RS,2492.028,"BOC(5,2)",10.0,10.0
28899,L1:C/A,1575.42,BPSK(1),13.0,13.5
37605,L1:C/A,1575.42,BPSK(1),13.0,13.5
37605,L5:L5I,1176.45,BPSK(10),18.0,16.0
38652,L1:C/A,1575.42,BPSK(1),13.0,13.5
38652,L5:L5I,1176.45,BPSK(10),18.0,16.0
38779,L1:C/A,1575.42,BPSK(1),13.0,13.5
38779,L5:L5I,1176.45,BPSK(10),18.0,16.0
38977,L1:C/A,1575.42,BPSK(1),13.0,13.5
39617,L1:C/A,1575.42,BPSK(1),13.0,13.5
39617,L5:L5I,1176.45,BPSK(10),18.0,16.0
