NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
43286,L5:RS-D,1176.45,"BOC(5,2)",18.0,16.0
24307,L1:C/A,1575.42,BPSK(1),13.0,13.5
24307,L5:L5I,1176.45,BPSK(10),18.0,16.0
28899,L1:C/A,1575.42,BPSK(1),13.0,13.5
28899,L5:L5I,1176.45,BPSK(10),18.0,16.0
37605,L1:C/A,1575.42,BPSK(1),13.0,13.5
37605,L5:L5I,1176.45,BPSK(10),18.0,16.0
38652,L1:C/A,1575.42,BPSK(1),13.0,13.5
38652,L5:L5I,1176.45,BPSK(10),18.0,16.0
38779,L1:C/A,1575.42,BPSK(1),13.0,13.5
38779,L5:L5I,1176.45,BPSK(10),18.0,16.0
38977,L1:C/A,1575.42,BPSK(1),13.0,13.5
38977,L5:L5I,1176.45,BPSK(10),18.0,16.0
39617,L1:C/A,1575.42,BPSK(1),13.0,13.5
39617,L5:L5I,1176.45,BPSK(10),18.0,16.0
